key,designer,season,year,category,city,section,width,height,size,aesthetic,tags,url,filename,shard
0327243,Versace,Spring,1992,Ready-to-Wear,,Collection,1989,3000,780766,4.84,['Clothing' 'Lighting' 'Apparel' 'Person' 'Purple' 'Runway' 'Human'],https://assets.vogue.com/photos/5a281abbb8ccd50883af37e8/VERSACE-SPRING-1993-RTW-57-CN10046371.jpg,0327243_Versace - Spring 1992 Ready-to-Wear [Collection].jpg,32
0643558,Comme des Garçons,Spring,1992,Ready-to-Wear,,Collection,1985,3003,670727,5.64,['Naomi Campbell' 'Spring'],https://assets.vogue.com/photos/58dc39360f8ad675bd44772a/COMME-DES-GARCONS-SPRING-1992-RTW-100-NAOMI-CAMPBELL-CN10044315.jpg,0643558_Comme des Garçons - Spring 1992 Ready-to-Wear [Collection].jpg,64
0643553,Perry Ellis,Spring,1992,Ready-to-Wear,,Collection,1988,3000,873269,4.76,"['Trench Coat' 'Clothing' 'Footwear' 'Overcoat' 'Apparel' 'Person' 'Human'
 'Coat' 'Shoe']",https://assets.vogue.com/photos/55d4f40be41418c56ee3adf9/PERRY-ELLIS-SPRING-19993-RTW-01-CHRISTY-TURLINGTON.jpg,0643553_Perry Ellis - Spring 1992 Ready-to-Wear [Collection].jpg,64
0324127,Versace,Fall,1993,Ready-to-Wear,,Collection,1998,3000,647380,4.8,['Clothing' 'Apparel' 'Fashion' 'Person' 'Human'],https://assets.vogue.com/photos/5a342a546f61181fe031ee0d/VERSACE-FALL-1993-RTW-33-SHALOM-HARLOW-CN10047249.jpg,0324127_Versace - Fall 1993 Ready-to-Wear [Collection].jpg,32
0642413,Comme des Garçons,Spring,1994,Ready-to-Wear,,Collection,1969,2979,896659,4.75,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Sleeve'
 'Human' 'Gown' 'Robe']",https://assets.vogue.com/photos/58de59bffb32ef256418c3ec/COMME-DES-GARCONS-SPRING-1994-RTW-42-CN10043914.jpg,0642413_Comme des Garçons - Spring 1994 Ready-to-Wear [Collection].jpg,64
0963189,Comme des Garçons,Fall,1994,Ready-to-Wear,,Collection,1996,3030,1398368,5.23,"['Leisure Activities' 'Dance Pose' 'Clothing' 'Apparel' 'Person' 'Sleeve'
 'Human' 'Stage']",https://assets.vogue.com/photos/58de7c9f0de2ac230874ade5/COMME-DES-GARCONS-FALL-1994-RTW-18-CN10042057.jpg,0963189_Comme des Garçons - Fall 1994 Ready-to-Wear [Collection].jpg,96
0641577,Todd Oldham,Fall,1994,Ready-to-Wear,,Collection,2732,4098,1222844,5.34,['Clothing' 'Apparel' 'Fashion' 'Person' 'Sleeve' 'Human'],https://assets.vogue.com/photos/63161488944fe5a1f2848815/00039-todd-oldham-fall-1994-ready-to-wear-credit-brand.jpg,0641577_Todd Oldham - Fall 1994 Ready-to-Wear [Collection].jpg,64
0964294,Moschino,Spring,1994,Ready-to-Wear,,Collection,2018,3000,458998,4.96,['Clothing' 'Apparel' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/5ccb46afb993f82e83ea5b94/017-moschino-spring-1994-ready-to-wear-CN10051891-anna-getaneh.jpg,0964294_Moschino - Spring 1994 Ready-to-Wear [Collection].jpg,96
0329583,Chanel,Spring,1994,Ready-to-Wear,,Collection,1331,1997,434804,5.04,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'
 'Gown' 'Robe']",https://assets.vogue.com/photos/55da1fe9236da4c1331797b7/CHANEL-SPRING-1994-RTW-135-CINDY-CRAWFORD.jpg,0329583_Chanel - Spring 1994 Ready-to-Wear [Collection].jpg,32
0962268,Chanel,Spring,1994,Ready-to-Wear,,Collection,1311,1992,431060,6.09,"['Long Sleeve' 'Kate Moss' 'Accessories' 'Accessory' 'Clothing' 'Apparel'
 'Person' 'Sleeve' 'Human' 'Tie']",https://assets.vogue.com/photos/55da1399236da4c133179528/CHANEL-SPRING-1994-RTW-15-KATE-MOSS.jpg,0962268_Chanel - Spring 1994 Ready-to-Wear [Collection].jpg,96
0321310,Chanel,Spring,1994,Ready-to-Wear,,Collection,1158,1737,291197,5.5,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/55da137a236da4c133179512/CHANEL-SPRING-1994-RTW-09-NAOMI-CAMPBELL.jpg,0321310_Chanel - Spring 1994 Ready-to-Wear [Collection].jpg,32
0964723,Versace,Fall,1995,Ready-to-Wear,,Collection,2000,3000,703866,4.82,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/5a2855edfaaa9320408bd1e3/VERSACE-FALL-1995-RTW-11-KATE-MOSS-CN10046999.jpg,0964723_Versace - Fall 1995 Ready-to-Wear [Collection].jpg,96
0329377,Calvin Klein Collection,Fall,1995,Ready-to-Wear,,Collection,1789,2683,336973,5.26,"['Long Sleeve' 'Clothing' 'Apparel' 'Female' 'Person' 'Sleeve' 'Dress'
 'Human' 'Woman']",https://assets.vogue.com/photos/57b4aa7e8acbeccb14753d75/CALVIN-KLEIN-FALL-1995-RTW-40-CHRYSTELE-SAINT-LOUIS-AUGUSTIN-CN10040706.jpg,0329377_Calvin Klein Collection - Fall 1995 Ready-to-Wear [Collection].jpg,32
0640525,Gucci,Fall,1995,Ready-to-Wear,,Collection,1919,2921,770449,4.24,['Debbie Harry' 'Clothing' 'Overcoat' 'Apparel' 'Person' 'Human' 'Coat'],https://assets.vogue.com/photos/55d4a847af6bb09951aff78d/GUCCI-FALL-1995-RTW-48-NADJA-AUERMANN.jpg,0640525_Gucci - Fall 1995 Ready-to-Wear [Collection].jpg,64
0969416,Gucci,Fall,1995,Ready-to-Wear,,Collection,1994,2972,802190,5.88,"['Accessories' 'Accessory' 'Clothing' 'Overcoat' 'Apparel' 'Jacket'
 'Person' 'Human' 'Coat' 'Suit' 'Tie']",https://assets.vogue.com/photos/55d4a832af6bb09951aff745/GUCCI-FALL-1995-RTW-25.jpg,0969416_Gucci - Fall 1995 Ready-to-Wear [Collection].jpg,96
0961342,Chanel,Spring,1995,Ready-to-Wear,,Collection,3593,5265,2376384,5.35,"['Long Sleeve' 'Clothing' 'Apparel' 'Fashion' 'Female' 'Person' 'Sleeve'
 'Human']",https://assets.vogue.com/photos/5df416b0e138d00008193322/077-chanel-spring-1995-ready-to-wear-Img011285-shalom-harlow.jpg,0961342_Chanel - Spring 1995 Ready-to-Wear [Collection].jpg,96
0967793,Prada,Spring,1995,Ready-to-Wear,,Collection,2000,3001,430996,4.19,"['Evening Dress' 'Long Sleeve' 'Clothing' 'Apparel' 'Fashion' 'Person'
 'Runway' 'Sleeve' 'Human' 'Gown' 'Robe']",https://assets.vogue.com/photos/576190d4beb20e861041c150/PRADA-SPRING-1995-RTW-61-KIRSTEN-OWEN.jpg,0967793_Prada - Spring 1995 Ready-to-Wear [Collection].jpg,96
0965584,Comme des Garçons,Fall,1996,Ready-to-Wear,,Collection,1938,2957,818670,5.09,"['Ruslana Korshunova' 'Clothing' 'Footwear' 'Apparel' 'Fashion' 'Person'
 'Human' 'Stage' 'Shoe']",https://assets.vogue.com/photos/58e6626168581262c311151d/COMME-DES-GARCONS-FALL-1996-RTW-39-CN10042801.jpg,0965584_Comme des Garçons - Fall 1996 Ready-to-Wear [Collection].jpg,96
0967596,Versace,Spring,1996,Ready-to-Wear,,Collection,2007,2943,602573,4.99,"['Leisure Activities' 'Kristen McMenamy' 'Clothing' 'Apparel' 'Costume'
 'Fashion' 'Person' 'Human']",https://assets.vogue.com/photos/5a286d94c32e167f859ec0b4/VERSACE-SPRING-1996-RTW-81-KRISTEN-MCEMENAMY-CN10045802.jpg,0967596_Versace - Spring 1996 Ready-to-Wear [Collection].jpg,96
0004572,Chanel,Spring,1996,Ready-to-Wear,,Collection,2019,3000,855290,5.18,"['Saskia de Brauw' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway'
 'Sleeve' 'Human']",https://assets.vogue.com/photos/5df40800e138d000081932e9/040-chanel-spring-1996-ready-to-wear-CN10053308-guinevere-van-seenus.jpg,0004572_Chanel - Spring 1996 Ready-to-Wear [Collection].jpg,0
0322149,Givenchy,Spring,1996,Couture,,Collection,4823,7232,4940866,5.79,['Clothing' 'Apparel' 'Person' 'Human'],https://assets.vogue.com/photos/5fd82ecec8da53ee96c8df09/046-givenchy-spring-1996-couture-CN10054273.jpg,0322149_Givenchy - Spring 1996 Couture [Collection].jpg,32
0961652,Miu Miu,Spring,1996,Ready-to-Wear,,Collection,4692,7072,4165321,4.87,,https://assets.vogue.com/photos/6128613c739c45455c8d0a7d/024-miu-miu-spring-1996-ready-to-wear-CN10055888-kirsty-hume.jpg,0961652_Miu Miu - Spring 1996 Ready-to-Wear [Collection].jpg,96
0009626,Ann Demeulemeester,Spring,1997,Ready-to-Wear,,Collection,2018,3000,1079745,5.81,['Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/55d48db6af6bb09951aff4d6/ANN-DEMEULEMEESTER-SPRING-1997-RTW-40.jpg,0009626_Ann Demeulemeester - Spring 1997 Ready-to-Wear [Collection].jpg,0
0962927,Alexander McQueen,Spring,1997,Ready-to-Wear,,Collection,1974,3000,1418659,4.58,"['Clothing' 'Apparel' 'Blonde' 'Female' 'Jacket' 'Person' 'Child' 'Human'
 'Woman' 'Coat' 'Girl' 'Teen' 'Kid']",https://assets.vogue.com/photos/55d36c4faf6bb09951aff1ee/ALEXANDER-MCQUEEN-SPRING-1997-RTW-41-JADE-PARFITT.jpg,0962927_Alexander McQueen - Spring 1997 Ready-to-Wear [Collection].jpg,96
0968890,Versace,Spring,1997,Ready-to-Wear,,Collection,2007,2958,562848,5.1,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/5a2870d605b6050892ec1192/VERSACE-SPRING-1997-RTW-42-MICHELE-HICKS-CN10045407.jpg,0968890_Versace - Spring 1997 Ready-to-Wear [Collection].jpg,96
0962497,Jean Paul Gaultier,Spring,1997,Couture,,Collection,2002,3000,1197884,5.45,"['Audience' 'Clothing' 'Footwear' 'Apparel' 'Person' 'Crowd' 'Human'
 'Shoe']",https://assets.vogue.com/photos/5e21f87c9e96560008395bcc/053-jean-paul-gaultier-spring-1997-couture-CN10053542.jpg,0962497_Jean Paul Gaultier - Spring 1997 Couture [Collection].jpg,96
0324078,Versace,Spring,1997,Ready-to-Wear,,Collection,2006,3000,672615,5.1,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'
 'Gown' 'Robe']",https://assets.vogue.com/photos/5a2870e20f4a564865c82ef9/VERSACE-SPRING-1997-RTW-70-GEORGINA-GRENVILLE-CN10045444.jpg,0324078_Versace - Spring 1997 Ready-to-Wear [Collection].jpg,32
0328600,Comme des Garçons,Spring,1997,Ready-to-Wear,,Collection,1982,3000,829302,5.06,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/55d7a210ffaf5abf26397cfa/COMME-DES-GARCONS-SPRING-1997-RTW-07-AMY-WESSON.jpg,0328600_Comme des Garçons - Spring 1997 Ready-to-Wear [Collection].jpg,32
0327678,Versace,Spring,1997,Ready-to-Wear,,Collection,2002,3000,673241,5.45,"['Evening Dress' 'Long Sleeve' 'Clothing' 'Apparel' 'Female' 'Person'
 'Runway' 'Sleeve' 'Dress' 'Human' 'Coat']",https://assets.vogue.com/photos/5a2870c5c32e167f859ec0e0/VERSACE-SPRING-1997-RTW-09-MICHELLE-HICKS-CN10045358.jpg,0327678_Versace - Spring 1997 Ready-to-Wear [Collection].jpg,32
0000974,Jean Paul Gaultier,Spring,1998,Couture,,Collection,1333,2000,313945,5.67,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Human' 'Gown'
 'Hair' 'Robe']",https://assets.vogue.com/photos/5cbe79f7c34ac52e4923fef4/062-jean-paul-gaultier-spring-1998-coutureCN10023242-patricia-vasquez.jpg,0000974_Jean Paul Gaultier - Spring 1998 Couture [Collection].jpg,0
0001735,Alexander McQueen,Spring,1998,Ready-to-Wear,,Collection,2000,3000,775583,4.81,['Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/560f3c252a2d27656d615ca8/ALEXANDER-MCQUEEN-SPRING-1998-RTW-67.jpg,0001735_Alexander McQueen - Spring 1998 Ready-to-Wear [Collection].jpg,0
0645147,Calvin Klein Collection,Spring,1998,Ready-to-Wear,,Collection,2000,3000,956936,5.51,['Long Sleeve' 'Clothing' 'Apparel' 'Person' 'Sleeve' 'Human'],https://assets.vogue.com/photos/57b4bc92062b83611243b101/CALVIN-KLEIN-SPRING-1998-RTW-61-SYLVIA-VAN-DER-KLOOSTER-CN10041215.jpg,0645147_Calvin Klein Collection - Spring 1998 Ready-to-Wear [Collection].jpg,64
0008416,Ann Demeulemeester,Spring,1998,Ready-to-Wear,,Collection,4749,7124,4488504,5.17,"['Long Sleeve' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Sleeve'
 'Human']",https://assets.vogue.com/photos/5fd79e58c32d4ab34886838c/078-ann-demeulemeester-spring-1998-ready-to-wear-CN10054585-rosemary-ferguson.jpg,0008416_Ann Demeulemeester - Spring 1998 Ready-to-Wear [Collection].jpg,0
0962127,Balenciaga,Spring,1998,Ready-to-Wear,,Collection,1946,3000,991515,4.82,"['Clothing' 'Footwear' 'Overcoat' 'Apparel' 'Fashion' 'Person' 'Human'
 'Coat' 'Shoe']",https://assets.vogue.com/photos/55d5f54bc39954da6d6f3a25/BALENCIAGA-SPRING-1998-RTW-14.jpg,0962127_Balenciaga - Spring 1998 Ready-to-Wear [Collection].jpg,96
0966114,Yohji Yamamoto,Fall,1998,Ready-to-Wear,,Collection,2796,4200,1240429,5.4,,https://assets.vogue.com/photos/6387c59a8378ecccf51c96e0/042-yohji-yamamoto-fall-1998-ready-to-wear-CN00119540-teresa-lourenco.jpg,0966114_Yohji Yamamoto - Fall 1998 Ready-to-Wear [Collection].jpg,96
0969335,Jean Paul Gaultier,Spring,1998,Couture,,Collection,1333,2000,505586,6.43,['Clothing' 'Footwear' 'Apparel' 'Fashion' 'Person' 'Human' 'Shoe'],https://assets.vogue.com/photos/5cbe79ff5add605972a59041/066-jean-paul-gaultier-spring-1998-couture-CN10023301-chrystele-saint-louis-augustin.jpg,0969335_Jean Paul Gaultier - Spring 1998 Couture [Collection].jpg,96
0325428,Anna Sui,Fall,1998,Ready-to-Wear,,Collection,2776,4200,1210533,4.89,"['Carmen Kass' 'Long Sleeve' 'Clothing' 'Apparel' 'Fashion' 'Person'
 'Runway' 'Sleeve' 'Human' 'Coat']",https://assets.vogue.com/photos/62503890f4d32274a826f881/0020-anna-sui-fall-1998-ready-to-wear-CN10057343-carmen-kass.jpg,0325428_Anna Sui - Fall 1998 Ready-to-Wear [Collection].jpg,32
0644002,Alexander McQueen,Fall,1999,Ready-to-Wear,,Collection,1951,3000,945490,4.72,['Home Decor' 'Clothing' 'Apparel' 'Person' 'Human' 'Linen'],https://assets.vogue.com/photos/560f10942a2d27656d6157df/ALEXANDER-MCQUEEN-FALL-1999-RTW-23-FRANKIE-RAYDER.jpg,0644002_Alexander McQueen - Fall 1999 Ready-to-Wear [Collection].jpg,64
0325391,Helmut Lang,Fall,1999,Ready-to-Wear,,Collection,709,1103,136290,5.01,['Clothing' 'Overcoat' 'Apparel' 'Person' 'Human' 'Coat' 'Suit'],https://assets.vogue.com/photos/56f0732ac42d536e190e94c7/HELMUT-LANG-FALL-1999-RTW-46.JPG,0325391_Helmut Lang - Fall 1999 Ready-to-Wear [Collection].jpg,32
0320427,Gucci,Spring,1999,Ready-to-Wear,,Collection,4699,7011,4557206,5.04,['Fashion' 'Person' 'Human'],https://assets.vogue.com/photos/5fd2b4fd64c93367085d0878/045-gucci-spring-1999-ready-to-wear-CN10054541-georgina-cooper.jpg,0320427_Gucci - Spring 1999 Ready-to-Wear [Collection].jpg,32
0644201,Olivier Theyskens,Spring,1999,Ready-to-Wear,,Collection,2085,3000,991390,4.45,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/55d36a1229ae4c555120102a/OLIVIER-THEYSKENS-SPRING-1999-RTW-08.jpg,0644201_Olivier Theyskens - Spring 1999 Ready-to-Wear [Collection].jpg,64
0007190,Helmut Lang,Fall,1999,Ready-to-Wear,,Collection,709,1103,133513,5.25,"['Clothing' 'Overcoat' 'Apparel' 'Blazer' 'Jacket' 'Person' 'Tuxedo'
 'Human' 'Coat' 'Suit' 'Man']",https://assets.vogue.com/photos/56f0732675b5663b5ad8c2af/HELMUT-LANG-FALL-1999-RTW-39.JPG,0007190_Helmut Lang - Fall 1999 Ready-to-Wear [Collection].jpg,0
0969716,Christian Dior,Spring,1999,Couture,,Collection,2400,3600,1562446,4.44,['Leisure Activities' 'Dance Pose' 'Clothing' 'Apparel' 'Person' 'Human'],https://assets.vogue.com/photos/61b760c4d44d041a901d9ece/025-christian-dior-spring-1999-couture-CN10002418-chrystele-saint-louis-augustin.jpg,0969716_Christian Dior - Spring 1999 Couture [Collection].jpg,96
0647706,Giorgio Armani,Spring,2000,Ready-to-Wear,,Collection,240,360,30584,5.17,"['Home Decor' 'Furniture' 'Clothing' 'Apparel' 'Female' 'Person' 'Runway'
 'Chair' 'Dress' 'Human' 'Linen' 'Woman']",https://assets.vogue.com/photos/55c6514d08298d8be21f146c/100007494.jpg,0647706_Giorgio Armani - Spring 2000 Ready-to-Wear [Collection].jpg,64
0645551,NYC 2000,Spring,2000,Ready-to-Wear,,Collection,240,360,18603,4.96,"['Evening Dress' 'Wedding Gown' 'Clothing' 'Apparel' 'Fashion' 'Wedding'
 'Person' 'Dress' 'Human' 'Gown' 'Robe']",https://assets.vogue.com/photos/55c6514e08298d8be21f2c19/100008851.jpg,0645551_NYC 2000 - Spring 2000 Ready-to-Wear [Collection].jpg,64
0966250,Celine,Fall,2000,Ready-to-Wear,,Collection,240,360,15845,4.09,"['Long Sleeve' 'Clothing' 'Overcoat' 'Apparel' 'Female' 'Person' 'Sleeve'
 'Dress' 'Human' 'Woman' 'Coat']",https://assets.vogue.com/photos/55c6515108298d8be21f597e/100000761.jpg,0966250_Celine - Fall 2000 Ready-to-Wear [Collection].jpg,96
0963648,Fendi,Spring,2000,Ready-to-Wear,,Collection,240,360,23742,4.22,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/55c6514d08298d8be21f1348/100007401.jpg,0963648_Fendi - Spring 2000 Ready-to-Wear [Collection].jpg,96
0006475,Alberta Ferretti,Fall,2000,Ready-to-Wear,,Collection,240,360,17347,4.37,['Clothing' 'Apparel' 'Female' 'Person' 'Human' 'Skirt' 'Woman'],https://assets.vogue.com/photos/55c6512b08298d8be21cc10c/100000180.jpg,0006475_Alberta Ferretti - Fall 2000 Ready-to-Wear [Collection].jpg,0
0968087,Hermès,Spring,2000,Ready-to-Wear,,Collection,2000,3000,715379,5.0,['Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Human' 'Coat'],https://assets.vogue.com/photos/5994770b2f771c12ab3541a5/HERMES-SPRING-2000-RTW-39-CN10026299.jpg,0968087_Hermès - Spring 2000 Ready-to-Wear [Collection].jpg,96
0003354,Alexander McQueen,Spring,2000,Ready-to-Wear,,Collection,2000,3000,688558,4.77,"['Leisure Activities' 'Dance Pose' 'Clothing' 'Footwear' 'Apparel'
 'Person' 'Human' 'Stage' 'Shoe']",https://assets.vogue.com/photos/560f143f2a2d27656d615a63/ALEXANDER-MCQUEEN-SPRING-2000-RTW-14.jpg,0003354_Alexander McQueen - Spring 2000 Ready-to-Wear [Collection].jpg,0
0322688,Prada,Spring,2000,Ready-to-Wear,,Collection,240,360,14089,3.79,['Clothing' 'Overcoat' 'Apparel' 'Person' 'Sleeve' 'Human' 'Coat'],https://assets.vogue.com/photos/55c6514e08298d8be21f2f1a/100009067.jpg,0322688_Prada - Spring 2000 Ready-to-Wear [Collection].jpg,32
0968134,Fendi,Fall,2000,Ready-to-Wear,,Collection,240,360,17069,3.9,"['Trench Coat' 'Clothing' 'Overcoat' 'Apparel' 'Person' 'Dress' 'Human'
 'Coat']",https://assets.vogue.com/photos/55c6515208298d8be21f6a93/100001951.jpg,0968134_Fendi - Fall 2000 Ready-to-Wear [Collection].jpg,96
0644564,DKNY,Spring,2000,Ready-to-Wear,,Collection,240,360,24383,4.7,"['Long Sleeve' 'Clothing' 'Apparel' 'Female' 'Jacket' 'Person' 'Sleeve'
 'Human' 'Coat']",https://assets.vogue.com/photos/55c6514d08298d8be21f0cd2/100007029.jpg,0644564_DKNY - Spring 2000 Ready-to-Wear [Collection].jpg,64
0645216,Alessandro Dell'Acqua,Fall,2000,Ready-to-Wear,,Collection,240,360,16158,4.78,"['Long Sleeve' 'Home Decor' 'Clothing' 'Apparel' 'Female' 'Person'
 'Runway' 'Sleeve' 'Dress' 'Human' 'Linen' 'Woman']",https://assets.vogue.com/photos/55c6512b08298d8be21cba90/100000091.jpg,0645216_Alessandro Dell'Acqua - Fall 2000 Ready-to-Wear [Collection].jpg,64
0322893,Bottega Veneta,Fall,2000,Ready-to-Wear,,Collection,1152,1728,244530,4.67,"['High Heel' 'Clothing' 'Footwear' 'Apparel' 'Person' 'Human' 'Skirt'
 'Shoe']",https://assets.vogue.com/photos/5e4c4bc738315400083da851/bottega-veneta-fall-2000-ready-to-wear-2C891075-colette-pechekohonova.JPG,0322893_Bottega Veneta - Fall 2000 Ready-to-Wear [Collection].jpg,32
0641413,Ralph Lauren,Fall,2000,Ready-to-Wear,,Collection,1152,1728,289894,4.4,['Gisele Bündchen' 'Fashion' 'Person' 'Runway' 'Human'],https://assets.vogue.com/photos/5a2079aafefb6248734b178a/RALPH-LAUREN-FALL-2000-RTW-59-GISELE-BUNDCHEN-2C892006.JPG,0641413_Ralph Lauren - Fall 2000 Ready-to-Wear [Collection].jpg,64
0647134,Krizia,Fall,2000,Ready-to-Wear,,Collection,240,360,23009,4.21,"['Home Decor' 'Clothing' 'Apparel' 'Fashion' 'Person' 'Runway' 'Sleeve'
 'Dress' 'Human' 'Linen' 'Robe']",https://assets.vogue.com/photos/55c6516f08298d8be2218529/100003091.jpg,0647134_Krizia - Fall 2000 Ready-to-Wear [Collection].jpg,64
0322297,Jeremy Scott,Fall,2000,Ready-to-Wear,,Collection,1152,1728,232977,4.78,['Clothing' 'Lighting' 'Apparel' 'Jacket' 'Person' 'Runway' 'Human' 'Coat'],https://assets.vogue.com/photos/5a0fad0fa1c4ec464d372488/JEREMY-SCOTT-FALL-2000-RTW-02-MARY-ANNE-FLETCHER-2C8M9592.JPG,0322297_Jeremy Scott - Fall 2000 Ready-to-Wear [Collection].jpg,32
0328085,Elspeth Gibson,Spring,2000,Ready-to-Wear,,Collection,240,360,19524,4.02,"['Clothing' 'Apparel' 'Female' 'Person' 'Banks' 'Dress' 'Human' 'Skirt'
 'Woman']",https://assets.vogue.com/photos/55c6514d08298d8be21f1138/100007185.jpg,0328085_Elspeth Gibson - Spring 2000 Ready-to-Wear [Collection].jpg,32
0325697,Tristan Webber,Fall,2000,Ready-to-Wear,,Collection,240,360,14188,3.82,"['Evening Dress' 'Clothing' 'Apparel' 'Fashion' 'Female' 'Person' 'Runway'
 'Sleeve' 'Dress' 'Human' 'Woman' 'Gown']",https://assets.vogue.com/photos/55c6518e08298d8be223cf6e/100005043.jpg,0325697_Tristan Webber - Fall 2000 Ready-to-Wear [Collection].jpg,32
